"coffeid","typeid","value"
307,6,"exportadora de cafe condor s.a"
307,7,"huila"
307,8,""
307,9,"70 kg"
307,10,"AlmacafAfA(C)"
307,11,"2013"
307,12,"Caturra"
307,13,"Washed / Wet"
307,14,"Blue-Green"
307,15,"AlmacafAfA(C)"
307,16,"m"
308,1,"Arabica"
308,2,"exportadora de cafe condor s.a"
308,3,"Colombia"
308,4,""
308,5,"trilladora boananza"
308,6,"exportadora de cafe condor s.a"
308,7,"huila"
308,8,""
308,9,"70 kg"
308,10,"AlmacafAfA(C)"
308,11,"2013"
308,12,"Caturra"
308,13,"Washed / Wet"
308,14,"Green"
308,15,"AlmacafAfA(C)"
308,16,"m"
309,1,"Arabica"
309,2,"kona pacific farmers cooperative"
309,3,"United States (Hawaii)"
309,4,""
309,5,""
309,6,"kona pacific farmers cooperative"
309,7,"kona"
309,8,""
309,9,"100 lbs"
309,10,"Specialty Coffee Association"
309,11,"2013"
309,12,"Hawaiian Kona"
309,13,"Natural / Dry"
309,14,"Bluish-Green"
309,15,"Specialty Coffee Association"
309,16,"ft"
310,1,"Arabica"
310,2,"saul m. hernandez ramirez"
310,3,"Mexico"
310,4,"naranjal"
310,5,"en ahuatitlan"
310,6,""
310,7,"huazalingo, hidalgo"
310,8,"MARTINEZ MAGDALENA, AGAPITA"
310,9,"1 kg"
310,10,"AMECAFE"
310,11,"2012"
310,12,"Caturra"
310,13,"Natural / Dry"
310,14,"None"
310,15,"AMECAFE"
310,16,"m"
311,1,"Arabica"
311,2,"the coffee source inc."
311,3,"Guatemala"
311,4,"several farms"
311,5,"florencia"
311,6,"the coffee source inc."
311,7,"quetzaltenango"
311,8,"Several producres"
311,9,"3 lbs"
311,10,"Specialty Coffee Association"
311,11,"2012"
311,12,"Caturra"
311,13,"Washed / Wet"
311,14,"Bluish-Green"
311,15,"Specialty Coffee Association"
311,16,"m"
312,1,"Arabica"
312,2,"carcafe ltda ci"
312,3,"Colombia"
312,4,""
312,5,""
312,6,""
312,7,"cauca"
312,8,"Carlos Peneche/Jesus Peneche/Flor ChacAfAn"
312,9,"70 kg"
312,10,"AlmacafAfA(C)"
312,11,"January 2011"
312,12,""
312,13,""
312,14,""
312,15,"AlmacafAfA(C)"
312,16,"m"
313,1,"Arabica"
313,2,"exportadora de cafe condor s.a"
313,3,"Colombia"
313,4,""
313,5,"trilladora boananza"
313,6,""
313,7,"cundinamarca"
313,8,""
313,9,"70 kg"
313,10,"AlmacafAfA(C)"
313,11,"4T/10"
313,12,""
313,13,""
313,14,""
313,15,"AlmacafAfA(C)"
313,16,"m"
314,1,"Arabica"
314,2,"kona pacific farmers cooperative"
314,3,"United States (Hawaii)"
314,4,""
314,5,""
314,6,""
314,7,"kona"
314,8,""
314,9,"1"
314,10,"Specialty Coffee Association"
314,11,""
314,12,""
314,13,""
314,14,""
314,15,"Specialty Coffee Association"
314,16,"ft"
315,1,"Arabica"
315,2,"ipanema coffees"
315,3,"Brazil"
315,4,"fazenda capoeirnha"
315,5,"dry mill"
315,6,"ipanema coffees"
315,7,"south of minas"
315,8,"Ipanema Agricola S.A"
315,9,"60 kg"
315,10,"Brazil Specialty Coffee Association"
315,11,"2017 / 2018"
315,12,"Bourbon"
315,13,"Natural / Dry"
315,14,"Green"
315,15,"Brazil Specialty Coffee Association"
315,16,"m"
316,1,"Arabica"
316,2,"kennedy macharia"
316,3,"Kenya"
316,4,""
316,5,"sasini / kofinaf mills"
316,6,"taylor winch (coffee) ltd"
316,7,"meru county"
316,8,"NCHOROIBORO / KIRIANI FACTORY"
316,9,"60 kg"
316,10,"Kenya Coffee Traders Association"
316,11,"2017"
316,12,"SL28"
316,13,"Washed / Wet"
316,14,"Bluish-Green"
316,15,"Kenya Coffee Traders Association"
316,16,"m"
317,1,"Arabica"
317,2,"bismarck castro"
317,3,"Honduras"
317,4,"los hicaques"
317,5,"cigrah s.a de c.v."
317,6,"cigrah s.a de c.v"
317,7,"comayagua"
317,8,"Reinerio Zepeda"
317,9,"69 kg"
317,10,"Instituto HondureAfA+/-o del CafAfA(C)"
317,11,"2016"
317,12,"Caturra"
317,13,"Washed / Wet"
317,14,"Green"
317,15,"Instituto HondureAfA+/-o del CafAfA(C)"
317,16,"m"
318,1,"Arabica"
318,2,"comercial internacional exportadora, s.a."
318,3,"Nicaragua"
318,4,"santa matilde"
318,5,"dry mill"
318,6,"comercial internacional exportadora, s.a."
318,7,"jinotega"
318,8,"RONALDO LACAYO CARDENAL"
318,9,"69 kg"
318,10,"Instituto HondureAfA+/-o del CafAfA(C)"
318,11,"2016"
318,12,"Caturra"
318,13,"Washed / Wet"
318,14,"Green"
318,15,"Instituto HondureAfA+/-o del CafAfA(C)"
318,16,"m"
319,1,"Arabica"
319,2,"ipanema coffees"
319,3,"Brazil"
319,4,"capoeirinha"
319,5,"dry mill"
319,6,"ipanema coffees"
319,7,"south of minas"
319,8,"Ipanema Agricola"
319,9,"60 kg"
319,10,"Brazil Specialty Coffee Association"
319,11,"2016"
319,12,"Bourbon"
319,13,"Natural / Dry"
319,14,"Green"
319,15,"Brazil Specialty Coffee Association"
319,16,"m"
320,1,"Arabica"
320,2,"lin, che-hao krude ???"
320,3,"Taiwan"
320,4,"tsoustructive garden ???"
320,5,"tsoustructive garden ???"
320,6,"taiwan coffee laboratory"
320,7,"leye, alishan township, chiayi county"
320,8,"FANG,ZHENG-LUN ???"
320,9,"50 kg"
320,10,"Specialty Coffee Association"
320,11,"2015"
320,12,"Caturra"
320,13,"Natural / Dry"
320,14,"Bluish-Green"
320,15,"Specialty Coffee Association"
320,16,"m"
321,1,"Arabica"
321,2,"ceca, s.a."
321,3,"Costa Rica"
321,4,""
321,5,"cafex"
321,6,"ceca,s.a."
321,7,"west valley"
321,8,""
321,9,"69 kg"
321,10,"Specialty Coffee Association of Costa Rica"
321,11,""
321,12,""
321,13,""
321,14,"Blue-Green"
321,15,"Specialty Coffee Association of Costa Rica"
321,16,"m"
322,1,"Arabica"
322,2,"doi tung development project"
322,3,"Thailand"
322,4,""
322,5,""
322,6,"doi tung development project"
322,7,"thailand"
322,8,"Doi Tung Development Project"
322,9,"1 kg"
322,10,"Specialty Coffee Association"
322,11,"2014"
322,12,""
322,13,"Washed / Wet"
322,14,"Bluish-Green"
322,15,"Specialty Coffee Association"
322,16,"m"
323,1,"Arabica"
323,2,"rob stephen"
323,3,"Colombia"
323,4,""
323,5,""
323,6,"olam specialty coffee"
323,7,"huila"
323,8,"Agrotello Coop"
323,9,"2 lbs"
323,10,"Specialty Coffee Association"
323,11,"2014/2015"
323,12,"Caturra"
323,13,"Washed / Wet"
323,14,""
323,15,"Specialty Coffee Association"
323,16,"m"
324,1,"Arabica"
324,2,"juan luis alvarado romero"
324,3,"Guatemala"
324,4,"finca las cuevitas"
324,5,"beneficio exportacafe agua santa"
324,6,"exportcafe"
324,7,"huehuetenango"
324,8,"FRANCISCO LUIS MARTINEZ LOPEZ"
324,9,"69 kg"
324,10,"Asociacion Nacional Del CafAfA(C)"
324,11,"2014"
324,12,"Bourbon"
324,13,"Washed / Wet"
324,14,"Green"
324,15,"Asociacion Nacional Del CafAfA(C)"
324,16,"ft"
325,1,"Arabica"
325,2,"exportadora de cafe condor s.a"
325,3,"Colombia"
325,4,"various"
325,5,"trilladora boananza"
325,6,"exportadora de cafe condor s.a"
325,7,"huila supremo"
325,8,""
325,9,"70 kg"
325,10,"AlmacafAfA(C)"
325,11,"2013"
325,12,"Caturra"
325,13,"Washed / Wet"
325,14,"Green"
325,15,"AlmacafAfA(C)"
325,16,"m"
326,1,"Arabica"
326,2,"racafe & cia s.c.a"
326,3,"Colombia"
326,4,""
326,5,""
326,6,"racafe & cia s.c.a"
326,7,"huila"
326,8,"Huila"
326,9,"70 kg"
326,10,"AlmacafAfA(C)"
326,11,"2013"
326,12,"Caturra"
326,13,"Washed / Wet"
326,14,"Green"
326,15,"AlmacafAfA(C)"
326,16,"m"
327,1,"Arabica"
327,2,"juan luis alvarado romero"
327,3,"Guatemala"
327,4,"la union monte verde"
327,5,"beneficio ixchel"
327,6,"unex guatemala, s.a."
327,7,"oriente"
327,8,"AGRICOLA MONTE VERDE, S.A."
327,9,"69 kg"
327,10,"Asociacion Nacional Del CafAfA(C)"
327,11,"2013"
327,12,"Bourbon"
327,13,"Washed / Wet"
327,14,"Green"
327,15,"Asociacion Nacional Del CafAfA(C)"
327,16,"ft"
328,1,"Arabica"
328,2,"juan luis alvarado romero"
328,3,"Guatemala"
328,4,"el sacramento"
328,5,"beneficio ixchel"
328,6,"unex guatemala, s.a."
328,7,"oriente"
328,8,"LUIS RODRIGUEZ"
328,9,"69 kg"
328,10,"Asociacion Nacional Del CafAfA(C)"
328,11,"2013"
328,12,"Bourbon"
328,13,"Washed / Wet"
328,14,"Green"
328,15,"Asociacion Nacional Del CafAfA(C)"
328,16,"ft"
329,1,"Arabica"
329,2,"exportadora de cafe condor s.a"
329,3,"Colombia"
329,4,""
329,5,"trilladora boananza"
329,6,"exportadora de cafe condor s.a"
329,7,"huila"
329,8,""
329,9,"70 kg"
329,10,"AlmacafAfA(C)"
329,11,"2012"
329,12,"Caturra"
329,13,"Washed / Wet"
329,14,"Green"
329,15,"AlmacafAfA(C)"
329,16,"m"
330,1,"Arabica"
330,2,"the coffee source inc."
330,3,"Guatemala"
330,4,"finca quequesquez"
330,5,"finca quequesquez"
330,6,"the coffee source inc."
330,7,"oriente"
330,8,"Finca Quequesquez"
330,9,"1 kg"
330,10,"Specialty Coffee Association"
330,11,"2012"
330,12,"Caturra"
330,13,"Natural / Dry"
330,14,"Green"
330,15,"Specialty Coffee Association"
330,16,"m"
331,1,"Arabica"
331,2,"juan luis alvarado romero"
331,3,"Guatemala"
331,4,"agropecuaria quiagral"
331,5,"beneficio ixchel"
331,6,"unex guatemala, s.a."
331,7,"oriente"
331,8,"AGROPECUARIA QUIAGRAL"
331,9,"1 kg"
331,10,"Asociacion Nacional Del CafAfA(C)"
331,11,"2012"
331,12,"Bourbon"
331,13,"Washed / Wet"
331,14,"Green"
331,15,"Asociacion Nacional Del CafAfA(C)"
331,16,"ft"
332,1,"Arabica"
332,2,"juan luis ortega carballo"
332,3,"Mexico"
332,4,"finca apoxtla"
332,5,"xicotepec de juarez"
332,6,""
332,7,"xicotepec de juarez"
332,8,"JUAN LUIS ORTEGA CARBALLO"
332,9,"1 kg"
332,10,"AMECAFE"
332,11,"2012"
332,12,"Typica"
332,13,"Washed / Wet"
332,14,"Green"
332,15,"AMECAFE"
332,16,"m"
333,1,"Arabica"
333,2,"ekai international company ltd."
333,3,"Indonesia"
333,4,"ijen highland, east java"
333,5,"pt. perkebunan nusantara xii"
333,6,"scai"
333,7,"east java"
333,8,"PT. Perkebunan Nusantara XII"
333,9,"60 kg"
333,10,"Specialty Coffee Association of Indonesia"
333,11,"2012"
333,12,"Typica"
333,13,"Washed / Wet"
333,14,"Green"
333,15,"Specialty Coffee Association of Indonesia"
333,16,"m"
334,1,"Arabica"
334,2,"juan luis alvarado romero"
334,3,"Guatemala"
334,4,"finca medina"
334,5,"beneficio 2000"
334,6,"siembras vision, s.a."
334,7,"sacatepequez, guatemala"
334,8,"SIEMBRAS VISION, S.A"
334,9,"69 kg"
334,10,"Asociacion Nacional Del CafAfA(C)"
334,11,"2012"
334,12,"Caturra"
334,13,"Washed / Wet"
334,14,"Green"
334,15,"Asociacion Nacional Del CafAfA(C)"
334,16,"ft"
335,1,"Arabica"
335,2,"kona pacific farmers cooperative"
335,3,"United States (Hawaii)"
335,4,""
335,5,""
335,6,""
335,7,""
335,8,""
335,9,"100 lbs"
335,10,"Specialty Coffee Association"
335,11,""
335,12,""
335,13,""
335,14,""
335,15,"Specialty Coffee Association"
335,16,"ft"
336,1,"Arabica"
336,2,"ipanema coffees"
336,3,"Brazil"
336,4,"fazenda capoeirnha"
336,5,"dry mill"
336,6,"ipanema coffees"
336,7,"south of minas"
336,8,"Ipanema Agricola S.A"
336,9,"60 kg"
336,10,"Brazil Specialty Coffee Association"
336,11,"2017 / 2018"
336,12,"Bourbon"
336,13,"Natural / Dry"
336,14,"Green"
336,15,"Brazil Specialty Coffee Association"
336,16,"m"
337,1,"Arabica"
337,2,"juan luis alvarado romero"
337,3,"Guatemala"
337,4,"finca santa clara"
337,5,"beneficio exportacafe agua santa"
337,6,"exportcafe"
337,7,"huehuetenango"
337,8,"JUAN RAMIREZ MORALES"
337,9,"69 kg"
337,10,"Asociacion Nacional Del CafAfA(C)"
337,11,"2016"
337,12,"Caturra"
337,13,"Washed / Wet"
337,14,"Green"
337,15,"Asociacion Nacional Del CafAfA(C)"
337,16,"ft"
338,1,"Arabica"
338,2,"racafe & cia s.c.a"
338,3,"Colombia"
338,4,""
338,5,"bachue"
338,6,"racafe & cia s.c.a"
338,7,"huila"
338,8,"La Plata"
338,9,"70 kg"
338,10,"AlmacafAfA(C)"
338,11,"2016"
338,12,"Caturra"
338,13,"Washed / Wet"
338,14,"Green"
338,15,"AlmacafAfA(C)"
338,16,"m"
339,1,"Arabica"
339,2,"yunnan coffee exchange"
339,3,"China"
339,4,"menglian mang pan professional cooperative"
339,5,"menglian mang pan professional cooperative"
339,6,"yunnan coffee exchange"
339,7,"yunnan"
339,8,"Menglian Mang Pan Professional Cooperative"
339,9,"60 kg"
339,10,"Yunnan Coffee Exchange"
339,11,"2015"
339,12,"Catimor"
339,13,"Washed / Wet"
339,14,"Green"
339,15,"Yunnan Coffee Exchange"
339,16,"m"
340,1,"Arabica"
340,2,"racafe & cia s.c.a"
340,3,"Colombia"
340,4,""
340,5,""
340,6,"racafe & cia s.c.a"
340,7,"huila"
340,8,"La Plata"
340,9,"70 kg"
340,10,"AlmacafAfA(C)"
340,11,"2015"
340,12,"Caturra"
340,13,"Washed / Wet"
340,14,"Green"
340,15,"AlmacafAfA(C)"
340,16,"m"
341,1,"Arabica"
341,2,"andreas kussmaul"
341,3,"Mexico"
341,4,"exportadora cafAfA(C) california"
341,5,"exportadora cafAfA(C) california"
341,6,"exportadora cafAfA(C) california"
341,7,"chiapas, jaltenango"
341,8,"Exportadora CafAfA(C) California"
341,9,"2 kg"
341,10,"AsociaciAfAn Mexicana De CafAfA(C)s y CafeterAfA-as De Especialidad A.C."
341,11,"2014"
341,12,"Caturra"
341,13,"Washed / Wet"
341,14,"Green"
341,15,"AsociaciAfAn Mexicana De CafAfA(C)s y CafeterAfA-as De Especialidad A.C."
341,16,"m"
342,1,"Arabica"
342,2,"essencecoffee"
342,3,"Ethiopia"
342,4,"lomi tasha"
342,5,"worka"
342,6,"essence coffee"
342,7,"yirgacheffe"
342,8,"LevelUp"
342,9,"60 kg"
342,10,"Blossom Valley International"
342,11,"2014"
342,12,"Other"
342,13,"Washed / Wet"
342,14,""
342,15,"Blossom Valley International"
342,16,"m"
343,1,"Arabica"
343,2,"bulamburi coffee farmers association"
343,3,"Uganda"
343,4,"bulamburi coffee farmers"
343,5,"bulamburi coffee farmers"
343,6,"bulamburi coffee farmers association"
343,7,"eastern"
343,8,"Bulamburi coffee farmers association"
343,9,"60 kg"
343,10,"Uganda Coffee Development Authority"
343,11,"2013"
343,12,"SL14"
343,13,"Washed / Wet"
343,14,"Green"
343,15,"Uganda Coffee Development Authority"
343,16,"m"
344,1,"Arabica"
344,2,"compaAfA+/-ia colombiana agroindustrial s.a"
344,3,"Colombia"
344,4,""
344,5,"trilladora boananza"
344,6,"ecom cca sa"
344,7,"cundinamarca"
344,8,""
344,9,"70 kg"
344,10,"AlmacafAfA(C)"
344,11,"2014"
344,12,"Caturra"
344,13,"Natural / Dry"
344,14,"Green"
344,15,"AlmacafAfA(C)"
344,16,"m"
345,1,"Arabica"
345,2,"compaAfA+/-ia colombiana agroindustrial s.a"
345,3,"Colombia"
345,4,""
345,5,"trilladora agricola"
345,6,"ecom cca sa"
345,7,"santander"
345,8,""
345,9,"70 kg"
345,10,"AlmacafAfA(C)"
345,11,"2014"
345,12,"Caturra"
345,13,"Washed / Wet"
345,14,"Green"
345,15,"AlmacafAfA(C)"
345,16,"m"
346,1,"Arabica"
346,2,"compaAfA+/-ia colombiana agroindustrial s.a"
346,3,"Colombia"
346,4,""
346,5,"trilladora agricola"
346,6,"ecom cca sa"
346,7,"santander"
346,8,""
346,9,"70 kg"
346,10,"AlmacafAfA(C)"
346,11,"2014"
346,12,"Caturra"
346,13,"Washed / Wet"
346,14,""
346,15,"AlmacafAfA(C)"
346,16,"m"
347,1,"Arabica"
347,2,"cqi taiwan icp cqi??????"
347,3,"Taiwan"
347,4,"dragon coffee ???"
347,5,"dragon coffee ???"
347,6,"blossom valley????"
347,7,"taichung xinshe ??????"
347,8,"Gu zhi min ???"
347,9,"30 kg"
347,10,"Blossom Valley International"
347,11,"2013/2014"
347,12,"Typica"
347,13,"Other"
347,14,"Green"
347,15,"Blossom Valley International"
347,16,"m"
348,1,"Arabica"
348,2,"racafe & cia s.c.a"
348,3,"Colombia"
348,4,""
348,5,""
348,6,"c.i.racafe & cia s.c.a"
348,7,"huila"
348,8,"LA PLATA"
348,9,"70 kg"
348,10,"AlmacafAfA(C)"
348,11,"2012"
348,12,"Caturra"
348,13,"Washed / Wet"
348,14,"Green"
348,15,"AlmacafAfA(C)"
348,16,"m"
349,1,"Arabica"
349,2,"alfredo bojalil"
349,3,"Mexico"
349,4,"ojo de agua"
349,5,"agroindustrias unidas de mexico"
349,6,"ecomtrading"
349,7,"xalapa"
349,8,"JULIAN ALBERTO URRUTIA MOYA"
349,9,"1 kg"
349,10,"AMECAFE"
349,11,"2012"
349,12,"Typica"
349,13,"Washed / Wet"
349,14,""
349,15,"AMECAFE"
349,16,"m"
350,1,"Arabica"
350,2,"carcafe ltda ci"
350,3,"Colombia"
350,4,""
350,5,""
350,6,"carcafe ltda"
350,7,"cundinamarca"
350,8,"ORLANDO ORTIZ/WILSON SANCHEZ/GILBERTO ACOSTA"
350,9,"70 kg"
350,10,"AlmacafAfA(C)"
350,11,"2012"
350,12,"Caturra"
350,13,"Natural / Dry"
350,14,"Green"
350,15,"AlmacafAfA(C)"
350,16,"m"
351,1,"Arabica"
351,2,"nucoffee"
351,3,"Brazil"
351,4,"fazenda jericAfA"
351,5,""
351,6,"nucoffee"
351,7,"south of minas"
351,8,"Alvaro Resende Aguiar"
351,9,"60 kg"
351,10,"NUCOFFEE"
351,11,"2012"
351,12,"Catuai"
351,13,"Semi-washed / Semi-pulped"
351,14,"Blue-Green"
351,15,"NUCOFFEE"
351,16,"m"
352,1,"Arabica"
352,2,"carcafe ltda ci"
352,3,"Colombia"
352,4,""
352,5,"bogota"
352,6,"carcafe ltda"
352,7,"cundinamarca"
352,8,"Orlando Moreno / Willson Sanchez"
352,9,"70 kg"
352,10,"AlmacafAfA(C)"
352,11,"2016"
352,12,"Caturra"
352,13,"Washed / Wet"
352,14,"Bluish-Green"
352,15,"AlmacafAfA(C)"
352,16,"m"
353,1,"Arabica"
353,2,"cqi taiwan icp cqi??????"
353,3,"Taiwan"
353,4,"????????????63-1?"
353,5,"??????"
353,6,"????"
353,7,""
353,8,"???????0912326001"
353,9,"10 kg"
353,10,"Blossom Valley International"
353,11,"2016 / 2017"
353,12,""
353,13,""
353,14,"Blue-Green"
353,15,"Blossom Valley International"
353,16,"m"
354,1,"Arabica"
354,2,"ceca, s.a."
354,3,"Costa Rica"
354,4,""
354,5,"beneficio montaAfA+/-as del diamante"
354,6,"ceca,s.a."
354,7,"tarrazu"
354,8,"Martin Gutierrez"
354,9,"69 kg"
354,10,"Specialty Coffee Association of Costa Rica"
354,11,"2015"
354,12,"Caturra"
354,13,"Washed / Wet"
354,14,"Blue-Green"
354,15,"Specialty Coffee Association of Costa Rica"
354,16,"m"
355,1,"Arabica"
355,2,"carcafe ltda ci"
355,3,"Colombia"
355,4,""
355,5,"neiva"
355,6,"carcafe ltda"
355,7,"pitalito"
355,8,"Mecias Urbano / Yaniver Alvarez"
355,9,"70 kg"
355,10,"AlmacafAfA(C)"
355,11,"2016"
355,12,"Caturra"
355,13,"Natural / Dry"
355,14,"Green"
355,15,"AlmacafAfA(C)"
355,16,"m"
356,1,"Arabica"
356,2,"juan luis alvarado romero"
356,3,"Guatemala"
356,4,"la esperanza"
356,5,"beneficio ixchel"
356,6,"unex guatemala, s.a."
356,7,"oriente"
356,8,"MARGARITA AVILA DE NUYENS"
356,9,"69 kg"
356,10,"Asociacion Nacional Del CafAfA(C)"
356,11,"2016"
356,12,"Bourbon"
356,13,"Washed / Wet"
356,14,"Bluish-Green"
356,15,"Asociacion Nacional Del CafAfA(C)"
356,16,"ft"
357,1,"Arabica"
357,2,"racafe & cia s.c.a"
357,3,"Colombia"
357,4,""
357,5,""
357,6,"racafe & cia s.c.a"
357,7,"huila"
357,8,"La Plata"
357,9,"70 kg"
357,10,"AlmacafAfA(C)"
357,11,"2015"
357,12,"Caturra"
357,13,"Washed / Wet"
357,14,"Green"
357,15,"AlmacafAfA(C)"
357,16,"m"
358,1,"Arabica"
358,2,"damari absalome"
358,3,"Tanzania, United Republic Of"
358,4,"ano family"
358,5,"arusha"
358,6,"tawoca"
358,7,"nkure- meru"
358,8,"Mr & Mrs Damari Absalome"
358,9,"60 kg"
358,10,"Africa Fine Coffee Association"
358,11,"2015"
358,12,"Ruiru 11"
358,13,"Washed / Wet"
358,14,"Green"
358,15,"Africa Fine Coffee Association"
358,16,"m"
359,1,"Arabica"
359,2,"aulia arif syahri"
359,3,"Indonesia"
359,4,"yusrin"
359,5,"olam"
359,6,"pt. olam indonesia"
359,7,"bener meriah"
359,8,"Yusrin"
359,9,"30 kg"
359,10,"Specialty Coffee Association"
359,11,"2015"
359,12,"Sumatra"
359,13,"Semi-washed / Semi-pulped"
359,14,"Bluish-Green"
359,15,"Specialty Coffee Association"
359,16,"m"
360,1,"Arabica"
360,2,"debesa agro industry plc"
360,3,"Ethiopia"
360,4,""
360,5,""
360,6,"debesa agro industry plc"
360,7,"oromia"
360,8,"Debesa"
360,9,"60 kg"
360,10,"METAD Agricultural Development plc"
360,11,"2014"
360,12,""
360,13,"Natural / Dry"
360,14,""
360,15,"METAD Agricultural Development plc"
360,16,"m"
361,1,"Arabica"
361,2,"federacion nacional de cafeteros"
361,3,"Colombia"
361,4,""
361,5,""
361,6,"federacion nacional de cafeteros"
361,7,"huila"
361,8,""
361,9,"2 kg"
361,10,"AlmacafAfA(C)"
361,11,"2014"
361,12,""
361,13,"Washed / Wet"
361,14,""
361,15,"AlmacafAfA(C)"
361,16,"m"
362,1,"Arabica"
362,2,"exportadora de cafe condor s.a"
362,3,"Colombia"
362,4,""
362,5,"bonanza - armenia"
362,6,"exportadora de cafe condor s.a"
362,7,"huila"
362,8,""
362,9,"70 kg"
362,10,"AlmacafAfA(C)"
362,11,"2014"
362,12,"Caturra"
362,13,"Washed / Wet"
362,14,"Green"
362,15,"AlmacafAfA(C)"
362,16,"m"
363,1,"Arabica"
363,2,"the coffee source inc."
363,3,"Guatemala"
363,4,"several"
363,5,"ixchel"
363,6,"the coffee source inc."
363,7,"atitlan"
363,8,"UNEX"
363,9,"1 kg"
363,10,"Specialty Coffee Association of Costa Rica"
363,11,"2013"
363,12,"Caturra"
363,13,"Washed / Wet"
363,14,"Green"
363,15,"Specialty Coffee Association of Costa Rica"
363,16,"m"
364,1,"Arabica"
364,2,"compaAfA+/-ia colombiana agroindustrial s.a"
364,3,"Colombia"
364,4,""
364,5,"trilladora boananza"
364,6,"ecom cca sa"
364,7,"cundinamarca"
364,8,""
364,9,"70 kg"
364,10,"AlmacafAfA(C)"
364,11,"2014"
364,12,"Caturra"
364,13,"Washed / Wet"
364,14,""
364,15,"AlmacafAfA(C)"
364,16,"m"
365,1,"Arabica"
365,2,""
365,3,"Honduras"
365,4,"los hicaques"
365,5,"cigrah sps"
365,6,"cigrah"
365,7,"comayagua"
365,8,"Reynerio Zepeda"
365,9,"1 kg"
365,10,"Instituto HondureAfA+/-o del CafAfA(C)"
365,11,"2014/2015"
365,12,"Caturra"
365,13,"Natural / Dry"
365,14,"Green"
365,15,"Instituto HondureAfA+/-o del CafAfA(C)"
365,16,"m"
366,1,"Arabica"
366,2,"exportadora de cafe condor s.a"
366,3,"Colombia"
366,4,""
366,5,"trilladora boananza"
366,6,"exportadora de cafe condor s.a"
366,7,"huila"
366,8,""
366,9,"70 kg"
366,10,"AlmacafAfA(C)"
366,11,"2013"
366,12,"Caturra"
366,13,"Washed / Wet"
366,14,"Green"
366,15,"AlmacafAfA(C)"
366,16,"m"
367,1,"Arabica"
367,2,"exportadora de cafe condor s.a"
367,3,"Colombia"
367,4,""
367,5,"trilladora boananza"
367,6,"exportadora de cafe condor s.a"
367,7,"huila"
367,8,""
367,9,"70 kg"
367,10,"AlmacafAfA(C)"
367,11,"2013"
367,12,"Caturra"
367,13,"Washed / Wet"
367,14,"Green"
367,15,"AlmacafAfA(C)"
367,16,"m"
368,1,"Arabica"
368,2,"manuel herrera juarez"
368,3,"Mexico"
368,4,"finca los barreales 1112lban"
368,5,"finca los barreales"
368,6,"finca los barreales"
368,7,"xalapa"
368,8,"MANUEL HERRERA JUAREZ"
368,9,"1 kg"
368,10,"AMECAFE"
368,11,"2012"
368,12,"Bourbon"
368,13,"Natural / Dry"
368,14,"Green"
368,15,"AMECAFE"
368,16,"m"
369,1,"Arabica"
369,2,"miguel cortes moreno"
369,3,"Mexico"
369,4,""
369,5,"comunidad de sacAfAn palma, municipio de chilAfAn, chiapas"
369,6,"estrategias constructivas corzu s.a. de c.v."
369,7,"chilAfAn"
369,8,"ARMANDO GUTIERREZ GUZMAN"
369,9,"1 kg"
369,10,"AMECAFE"
369,11,"2012"
369,12,"Typica"
369,13,"Semi-washed / Semi-pulped"
369,14,"Green"
369,15,"AMECAFE"
369,16,"m"
370,1,"Arabica"
370,2,"gabriel bernardo rivas ross"
370,3,"Mexico"
370,4,"la corralera"
370,5,"dos puentes de finca kassandra"
370,6,""
370,7,"totutla"
370,8,"GABRIEL BERNARD RIVAS ROSS"
370,9,"1 kg"
370,10,"AMECAFE"
370,11,"2012"
370,12,"Pacamara"
370,13,"Washed / Wet"
370,14,"Green"
370,15,"AMECAFE"
370,16,"m"
371,1,"Arabica"
371,2,"juan luis alvarado romero"
371,3,"Guatemala"
371,4,"santo tomas pachuj"
371,5,"palinsa, beneficiado seco / santo tomas pachuj, beneficiado humedo"
371,6,"kanematsu corporation / rnp santo tomas pachuj"
371,7,"atitlan"
371,8,"RNP SANTO TOMAS PACHUJ / KANEMATSU CORPORATION"
371,9,"69 kg"
371,10,"Asociacion Nacional Del CafAfA(C)"
371,11,"2012"
371,12,"Caturra"
371,13,"Washed / Wet"
371,14,"Green"
371,15,"Asociacion Nacional Del CafAfA(C)"
371,16,"ft"
372,1,"Arabica"
372,2,"racafe & cia s.c.a"
372,3,"Colombia"
372,4,""
372,5,""
372,6,"c.i.racafe & cia s.c.a"
372,7,"huila"
372,8,"La Plata"
372,9,"70 kg"
372,10,"AlmacafAfA(C)"
372,11,"2012"
372,12,"Caturra"
372,13,"Washed / Wet"
372,14,"Green"
372,15,"AlmacafAfA(C)"
372,16,"m"
373,1,"Arabica"
373,2,"felipe isaza"
373,3,"Guatemala"
373,4,"conquista / morito"
373,5,"beneficio ixchel"
373,6,"coffee resources inc."
373,7,"oriente"
373,8,"ConquistaMorito"
373,9,"2 kg"
373,10,"Specialty Coffee Association"
373,11,"2012"
373,12,"Bourbon"
373,13,"Washed / Wet"
373,14,"Green"
373,15,"Specialty Coffee Association"
373,16,"ft"
374,1,"Arabica"
374,2,"kona pacific farmers cooperative"
374,3,"United States (Hawaii)"
374,4,""
374,5,""
374,6,""
374,7,""
374,8,""
374,9,"100 lbs"
374,10,"Specialty Coffee Association"
374,11,""
374,12,""
374,13,""
